Date,Num,Denom,WHI_value,WHI_X800,IHSG_Close
2025-01-20,25,30,0.833333,666.6667,7170.74
2025-01-21,29,36,0.805556,644.4444,7181.82
2025-01-22,27,42,0.642857,514.2857,7257.13
2025-01-23,35,32,1.09375,875.0,7232.64
2025-01-24,53,15,3.533333,2826.6667,7166.06
2025-01-30,62,15,4.133333,3306.6667,7073.48
2025-01-31,50,22,2.272727,1818.1818,7109.2
2025-02-03,68,16,4.25,3400.0,7030.06
2025-02-04,57,20,2.85,2280.0,7073.46
2025-02-05,62,16,3.875,3100.0,7024.23
2025-02-06,72,10,7.2,5760.0,6875.54
2025-02-07,63,11,5.727273,4581.8182,6742.58
2025-02-10,72,8,9.0,7200.0,6648.14
2025-02-11,75,10,7.5,6000.0,6531.99
2025-02-12,47,15,3.133333,2506.6667,6645.78
2025-02-13,36,20,1.8,1440.0,6613.57
2025-02-14,19,29,0.655172,524.1379,6638.46
2025-02-17,7,63,0.111111,88.8889,6830.88
2025-02-18,5,74,0.067568,54.0541,6873.55
2025-02-19,17,43,0.395349,316.2791,6794.87
2025-02-20,27,30,0.9,720.0,6788.04
2025-02-21,35,31,1.129032,903.2258,6803.0
2025-02-24,50,21,2.380952,1904.7619,6749.6
2025-02-25,82,8,10.25,8200.0,6587.09
2025-02-26,85,7,12.142857,9714.2857,6606.18
2025-02-27,89,2,44.5,35600.0,6485.45
2025-02-28,97,2,48.5,38800.0,6270.6
2025-03-03,51,10,5.1,4080.0,6519.66
2025-03-04,72,7,10.285714,8228.5714,6380.4
2025-03-05,29,16,1.8125,1450.0,6531.4
2025-03-06,16,31,0.516129,412.9032,6617.85
2025-03-07,17,53,0.320755,256.6038,6636.0
2025-03-10,24,47,0.510638,408.5106,6598.21
2025-03-11,40,18,2.222222,1777.7778,6545.85
2025-03-12,41,29,1.413793,1131.0345,6665.04
2025-03-13,48,17,2.823529,2258.8235,6647.42
2025-03-14,67,13,5.153846,4123.0769,6515.63
2025-03-17,51,20,2.55,2040.0,6471.95
2025-03-18,82,7,11.714286,9371.4286,6223.39
2025-03-19,68,15,4.533333,3626.6667,6311.66
2025-03-20,51,19,2.684211,2147.3684,6381.67
2025-03-21,63,16,3.9375,3150.0,6258.18
2025-03-24,75,6,12.5,10000.0,6161.22
2025-03-25,52,17,3.058824,2447.0588,6235.62
2025-03-26,5,51,0.098039,78.4314,6472.36
2025-03-27,9,57,0.157895,126.3158,6510.62
2025-04-08,83,2,41.5,33200.0,5996.14
2025-04-09,75,2,37.5,30000.0,5967.99
2025-04-10,17,29,0.586207,468.9655,6254.02
2025-04-11,7,37,0.189189,151.3514,6262.23
2025-04-14,2,75,0.026667,21.3333,6368.52
2025-04-15,1,82,0.012195,9.7561,6441.68
2025-04-16,2,63,0.031746,25.3968,6400.05
2025-04-17,3,63,0.047619,38.0952,6438.27
2025-04-21,5,57,0.087719,70.1754,6445.97
2025-04-22,12,74,0.162162,129.7297,6538.27
2025-04-23,8,73,0.109589,87.6712,6634.38
2025-04-24,9,69,0.130435,104.3478,6613.48
2025-04-25,5,80,0.0625,50.0,6678.92
2025-04-28,3,75,0.04,32.0,6722.97
2025-04-29,4,75,0.053333,42.6667,6749.08
2025-04-30,10,57,0.175439,140.3509,6766.79
2025-05-02,17,53,0.320755,256.6038,6815.73
2025-05-05,17,51,0.333333,266.6667,6831.95
2025-05-06,15,62,0.241935,193.5484,6898.2
2025-05-07,15,52,0.288462,230.7692,6926.23
2025-05-08,25,38,0.657895,526.3158,6827.75
2025-05-09,39,30,1.3,1040.0,6832.8
2025-05-14,15,62,0.241935,193.5484,6979.88
2025-05-15,16,65,0.246154,196.9231,7040.16
2025-05-16,15,68,0.220588,176.4706,7106.53
2025-05-19,11,73,0.150685,120.5479,7141.09
2025-05-20,20,45,0.444444,355.5556,7094.6
2025-05-21,14,60,0.233333,186.6667,7142.46
2025-05-22,17,53,0.320755,256.6038,7166.98
2025-05-23,17,46,0.369565,295.6522,7214.16
2025-05-26,38,26,1.461538,1169.2308,7188.35
2025-05-27,28,36,0.777778,622.2222,7198.97
2025-05-28,41,26,1.576923,1261.5385,7175.82
2025-06-02,51,18,2.833333,2266.6667,7065.07
2025-06-03,64,20,3.2,2560.0,7044.82
2025-06-04,45,34,1.323529,1058.8235,7069.04
2025-06-05,43,30,1.433333,1146.6667,7113.42
2025-06-10,23,41,0.560976,448.7805,7230.75
2025-06-11,15,52,0.288462,230.7692,7222.46
2025-06-12,24,46,0.521739,417.3913,7204.37
2025-06-13,32,35,0.914286,731.4286,7166.06
2025-06-16,41,24,1.708333,1366.6667,7117.59
2025-06-17,29,32,0.90625,725.0,7155.85
2025-06-18,45,24,1.875,1500.0,7107.79
2025-06-19,78,7,11.142857,8914.2857,6968.64
2025-06-20,81,8,10.125,8100.0,6907.14
2025-06-23,90,6,15.0,12000.0,6787.14
2025-06-24,57,5,11.4,9120.0,6869.17
2025-06-25,55,9,6.111111,4888.8889,6832.14
2025-06-26,28,19,1.473684,1178.9474,6897.4
2025-06-30,15,38,0.394737,315.7895,6927.68
2025-07-01,21,43,0.488372,390.6977,6915.36
2025-07-02,27,26,1.038462,830.7692,6881.25
2025-07-03,17,36,0.472222,377.7778,6878.05
2025-07-04,31,27,1.148148,918.5185,6865.19
2025-07-07,29,27,1.074074,859.2593,6900.93
2025-07-08,38,31,1.225806,980.6452,6904.39
2025-07-09,15,46,0.326087,260.8696,6943.92
2025-07-10,8,68,0.117647,94.1176,7005.37
2025-07-11,9,80,0.1125,90.0,7047.44
2025-07-14,13,41,0.317073,253.6585,7097.15
2025-07-15,17,46,0.369565,295.6522,7140.47
2025-07-16,19,57,0.333333,266.6667,7192.02
2025-07-17,16,53,0.301887,241.5094,7287.02
2025-07-18,19,44,0.431818,345.4545,7311.92
2025-07-21,23,43,0.534884,427.907,7398.19
2025-07-22,42,31,1.354839,1083.871,7344.74
2025-07-23,19,44,0.431818,345.4545,7469.23
2025-07-24,17,46,0.369565,295.6522,7530.9
2025-07-25,19,35,0.542857,434.2857,7543.5
2025-07-28,20,47,0.425532,340.4255,7614.77
2025-07-29,19,44,0.431818,345.4545,7617.91
2025-07-30,36,36,1.0,800.0,7549.89
2025-07-31,58,27,2.148148,1718.5185,7484.34
2025-08-01,56,30,1.866667,1493.3333,7537.77
2025-08-04,45,29,1.551724,1241.3793,7464.65
2025-08-05,36,33,1.090909,872.7273,7515.19
2025-08-06,26,32,0.8125,650.0,7503.75
2025-08-07,36,30,1.2,960.0,7490.18
2025-08-08,38,32,1.1875,950.0,7533.38
2025-08-11,22,45,0.488889,391.1111,7605.92
2025-08-12,16,57,0.280702,224.5614,7791.7
2025-08-13,15,58,0.258621,206.8966,7892.91
2025-08-14,18,48,0.375,300.0,7931.25
2025-08-15,32,20,1.6,1280.0,7898.38
2025-08-19,31,36,0.861111,688.8889,7862.95
2025-08-20,15,46,0.326087,260.8696,7943.83
2025-08-21,21,46,0.456522,365.2174,7890.71
2025-08-22,32,34,0.941176,752.9412,7858.85
2025-08-25,27,37,0.72973,583.7838,7926.91
2025-08-26,30,27,1.111111,888.8889,7905.76
2025-08-27,38,21,1.809524,1447.619,7936.18
2025-08-28,38,23,1.652174,1321.7391,7952.09
2025-08-29,70,8,8.75,7000.0,7830.49
2025-09-01,81,6,13.5,10800.0,7736.07
2025-09-02,49,12,4.083333,3266.6667,7801.58
2025-09-03,24,28,0.857143,685.7143,7885.86
2025-09-04,16,29,0.551724,441.3793,7867.35
2025-09-08,45,23,1.956522,1565.2174,7766.85
2025-09-09,52,22,2.363636,1890.9091,7628.6
2025-09-10,46,15,3.066667,2453.3333,7699.01
2025-09-11,26,27,0.962963,770.3704,7747.9
2025-09-12,18,35,0.514286,411.4286,7854.06
2025-09-15,14,53,0.264151,211.3208,7937.12
2025-09-16,13,50,0.26,208.0,7957.7
2025-09-17,11,58,0.189655,151.7241,8025.18
2025-09-18,29,27,1.074074,859.2593,8008.43
2025-09-19,37,29,1.275862,1020.6897,8051.12
2025-09-22,40,29,1.37931,1103.4483,8040.04
2025-09-23,29,35,0.828571,662.8571,8125.2
2025-09-24,47,27,1.740741,1392.5926,8126.56
2025-09-25,49,26,1.884615,1507.6923,8040.67
2025-09-26,47,31,1.516129,1212.9032,8099.33
2025-09-29,32,31,1.032258,825.8065,8123.25
2025-09-30,43,20,2.15,1720.0,8061.06
2025-10-01,55,22,2.5,2000.0,8043.82
2025-10-02,55,25,2.2,1760.0,8071.08
2025-10-03,42,28,1.5,1200.0,8118.3
2025-10-06,48,23,2.086957,1669.5652,8139.89
2025-10-07,47,17,2.764706,2211.7647,8169.28
2025-10-08,49,25,1.96,1568.0,8166.03
2025-10-09,23,41,0.560976,448.7805,8250.94
2025-10-10,28,33,0.848485,678.7879,8257.86
2025-10-13,40,25,1.6,1280.0,8227.2
2025-10-14,68,16,4.25,3400.0,8066.52
2025-10-15,60,20,3.0,2400.0,8051.17
2025-10-16,44,28,1.571429,1257.1429,8124.76
2025-10-17,63,20,3.15,2520.0,7915.66
2025-10-20,24,35,0.685714,548.5714,8088.98
2025-10-21,9,50,0.18,144.0,8238.08
2025-10-22,16,52,0.307692,246.1538,8152.55
2025-10-23,14,61,0.229508,183.6066,8274.35
2025-10-24,23,42,0.547619,438.0952,8271.72
2025-10-27,23,44,0.522727,418.1818,8117.15
2025-10-28,28,43,0.651163,520.9302,8092.63
2025-10-29,15,55,0.272727,218.1818,8166.22
2025-10-30,21,50,0.42,336.0,8184.06
2025-10-31,29,43,0.674419,539.5349,8163.88
2025-11-03,24,47,0.510638,408.5106,8275.08
2025-11-04,35,33,1.060606,848.4848,8241.91
2025-11-05,35,26,1.346154,1076.9231,8318.53
2025-11-06,26,23,1.130435,904.3478,8337.06
2025-11-07,25,33,0.757576,606.0606,8394.59
2025-11-10,38,30,1.266667,1013.3333,8391.24
2025-11-11,39,31,1.258065,1006.4516,8366.51
2025-11-12,37,34,1.088235,870.5882,8388.57
2025-11-13,39,22,1.772727,1418.1818,8372.0
2025-11-14,54,15,3.6,2880.0,8370.44
2025-11-17,44,24,1.833333,1466.6667,8416.88
2025-11-18,50,22,2.272727,1818.1818,8361.93
2025-11-19,39,17,2.294118,1835.2941,8406.58
2025-11-20,34,26,1.307692,1046.1538,8419.92
2025-11-21,41,17,2.411765,1929.4118,8414.35
2025-11-24,38,28,1.357143,1085.7143,8570.25
2025-11-25,40,33,1.212121,969.697,8521.88
2025-11-26,25,44,0.568182,454.5455,8602.13
2025-11-27,45,30,1.5,1200.0,8545.87
2025-11-28,45,28,1.607143,1285.7143,8508.71
2025-12-01,44,24,1.833333,1466.6667,8548.79
2025-12-02,31,33,0.939394,751.5152,8617.04
2025-12-03,33,30,1.1,880.0,8611.79
2025-12-04,30,33,0.909091,727.2727,8640.2
2025-12-05,37,26,1.423077,1138.4615,8632.76
2025-12-08,24,44,0.545455,436.3636,8710.7
2025-12-09,50,13,3.846154,3076.9231,8657.18
2025-12-10,50,15,3.333333,2666.6667,8700.92
2025-12-11,75,9,8.333333,6666.6667,8620.48
2025-12-12,63,12,5.25,4200.0,8660.5
2025-12-15,32,27,1.185185,948.1481,8649.66
2025-12-16,24,27,0.888889,711.1111,8686.47
2025-12-17,21,26,0.807692,646.1538,8677.34
2025-12-18,31,32,0.96875,775.0,8618.2
2025-12-19,33,36,0.916667,733.3333,8609.55
2025-12-22,26,38,0.684211,547.3684,8645.84
2025-12-23,33,31,1.064516,851.6129,8584.78
2025-12-24,40,24,1.666667,1333.3333,8537.91
2025-12-29,33,41,0.804878,643.9024,8644.26
2025-12-30,28,39,0.717949,574.359,8646.94
2026-01-02,16,51,0.313725,250.9804,8748.13
2026-01-05,18,57,0.315789,252.6316,8859.19
2026-01-06,11,73,0.150685,120.5479,8933.61
2026-01-07,19,65,0.292308,233.8462,8944.81
2026-01-08,26,41,0.634146,507.3171,8925.47
2026-01-09,25,42,0.595238,476.1905,8936.75
2026-01-12,31,29,1.068966,855.1724,8884.72
2026-01-13,27,43,0.627907,502.3256,8948.3
2026-01-14,27,44,0.613636,490.9091,9032.58
2026-01-15,17,43,0.395349,316.2791,9075.41
2026-01-19,19,49,0.387755,310.2041,9133.87
2026-01-20,21,43,0.488372,390.6977,9134.7
2026-01-21,34,29,1.172414,937.931,9010.33
2026-01-22,24,46,0.521739,417.3913,8992.18
2026-01-23,29,47,0.617021,493.617,8951.01
2026-01-26,35,44,0.795455,636.3636,8975.33
2026-01-27,39,26,1.5,1200.0,8980.23
2026-01-28,89,2,44.5,35600.0,8320.56
